Haltestellen_No;Y_Koord;X_Koord;Name;Bahnknoten;Bahnlinie_Anz;TramBus_Anz;Seilbahn_Anz;A_Intervall;B_Intervall;Hst_Kat
8576827;2609945.090221416;1174431.8807786114;Höfen b. Thun, Speck;0;0;35;0;0;48;5
8576828;2610399.213691682;1174344.9349907658;Höfen b. Thun, Unteregg;0;0;35;0;0;48;5
8576829;2610938.924322531;1174415.0352352753;Amsoldingen, See;0;0;35;0;0;48;5
8576830;2611047.7899949104;1174583.6519618193;Amsoldingen, Sandgrube;0;0;35;0;0;48;5
8576831;2610809.208862684;1175126.8283837282;Amsoldingen, Kirche;0;0;35;0;0;48;5
8576832;2611072.124544481;1175195.673262534;Amsoldingen, Kreuz;0;0;35;0;0;48;5
8576833;2611129.0029103816;1175607.2086426062;Amsoldingen, Steghalten;0;0;35;0;0;48;5
8576834;2611395.0084833964;1176212.1230655885;Allmendingen bei Thun, RAZ;0;0;35;0;0;48;5
8576836;2611975.1634261208;1176916.0491493659;Allmendingen bei Thun, Dorf;0;0;174;0;0;9.66;3
8576837;2612315.9155075657;1177106.9435673775;Allmendingen, Längmatt;0;0;171;0;0;9.82;3
8576838;2613429.0714566465;1177565.77673469;Thun, Martinstrasse;0;0;172;0;0;9.77;3
8576839;2609473.058998042;1173710.0910144357;Oberstocken, Wolfbuchen;0;0;30;0;0;56;5
8576840;2610269.9413621156;1173260.165884484;Niederstocken, Stockhorn;0;0;30;0;0;56;5
8576841;2610733.671535945;1172811.7457980958;Niederstocken, Schwand;0;0;30;0;0;56;5
8576842;2611224.1943683447;1172798.2977285287;Niederstocken, Säge;0;0;15;0;0;112;0
8576845;2614141.6943284553;1171670.9729255713;Reutigen, Viehschauplatz;0;0;39;0;0;43.08;5
8576847;2614552.2104772576;1170971.2634781066;Reutigen, Kapf;0;0;39;0;0;43.08;5
8576848;2614677.7140980572;1169663.0199963443;Wimmis, Brodhüsi;0;0;39;0;0;43.08;5
8576850;2615267.916405308;1169460.2722774416;Wimmis, Dorf;0;0;20;0;0;84;0
8576851;2615068.0587257165;1169398.1827286289;Wimmis, Bahnhof;0;0;40;0;0;42;5
8576853;2614352.628437252;1172513.89688618;Zwieselberg, Glütsch;0;0;39;0;0;43.08;5
8576854;2614637.0233023753;1172554.9346578636;Reutigen, Hani;0;0;39;0;0;43.08;5
8576856;2614763.9266236327;1173728.9492091567;Gwatt, Gwattstutz;0;0;39;0;0;43.08;5
8576858;2614390.1431158264;1175217.8002541154;Gwatt, Camping;0;0;165;0;0;10.18;4
8576859;2614408.222545836;1175712.7616869465;Thun, Seeblick;0;0;192;0;0;8.75;3
8576860;2614418.218564576;1176135.0002399404;Thun, Pfaffenbühl;0;0;165;0;0;10.18;4
8576861;2614447.8993765092;1176633.992108085;Thun, Strandbad;0;0;193;0;0;8.7;3
8576862;2614369.1253608144;1177138.1715704638;Thun, Dürrenast;0;0;166;0;0;10.12;4
8576863;2614289.7466408694;1177612.8914732067;Thun, Hohmad;0;0;166;0;0;10.12;4
8576864;2614691.20647008;1178493.0845993112;Thun, Freienhof;0;0;61;0;0;27.54;5
8576865;2614630.2291836864;1178434.1283119526;Thun, Bälliz;0;0;56;0;0;30;5
8576866;2614949.0101212477;1178328.1903183062;Thun, Thunerhof;0;0;117;0;0;14.36;4
8576867;2615099.0505292686;1178151.3630842066;Thun, Hofstetten;0;0;117;0;0;14.36;4
8576868;2615171.190248929;1177842.9424244536;Thun, Bächimatt;0;0;117;0;0;14.36;4
8576869;2615363.037346689;1177430.1069430977;Hünibach, Seematte;0;0;117;0;0;14.36;4
8576870;2615936.6841774303;1176995.7093376024;Hünibach, Stationsstrasse;0;0;132;0;0;12.73;4
8576871;2616255.9695145683;1176739.987883038;Hünibach, Eichbühl;0;0;120;0;0;14;4
8576872;2617017.0254607573;1175863.3103475175;Hilterfingen, Kirche;0;0;120;0;0;14;4
8576874;2619132.998946161;1173976.8134879654;Oberhofen a.T., Örtlibach;0;0;60;0;0;28;5
8576875;2619576.0897830226;1173737.8941071094;Gunten, Du Lac;0;0;60;0;0;28;5
8576876;2621364.675201744;1173159.2378196747;Gunten, Stampbach;0;0;59;0;0;28.47;5
8576877;2621995.072350022;1172849.9066893875;Merligen, Ralligen;0;0;59;0;0;28.47;5
8576878;2622270.818294403;1172585.897248577;Merligen, Bäregg;0;0;59;0;0;28.47;5
8576879;2622506.0825075167;1172334.7556829308;Merligen, Vorderdorf;0;0;59;0;0;28.47;5
8576880;2622718.2098502857;1172180.1407512787;Merligen, Kreuz;0;0;59;0;0;28.47;5
8576881;2624243.7962507918;1170054.3440858955;Merligen, Nastel;0;0;26;0;0;64.62;0
8576882;2624810.778183662;1170227.9651455337;Sundlauenen, Geisskilche;0;0;26;0;0;64.62;0
8576883;2625787.9882777226;1170249.1949312198;Sundlauenen, Balmholz;0;0;26;0;0;64.62;0
8576884;2626738.6385870283;1170530.0426969605;Sundlauenen, Pilgerweg;0;0;26;0;0;64.62;0
