"","Gemeinde","E_KOORD","N_KOORD","RELI","B21BTOT","B20BTOT","B19BTOT","B18BTOT","B17BTOT","B16BTOT","B15BTOT","B14BTOT","B13BTOT","B12BTOT","B11BTOT"
"3053","Untersiggenthal",2661900,1260800,66192608,72,73,73,76,75,71,73,78,76,77,79
"3054","Untersiggenthal",2661900,1260700,66192607,39,39,39,36,37,36,35,33,29,33,32
"3055","Untersiggenthal",2661900,1260600,66192606,25,25,26,27,27,28,29,30,30,25,27
"3056","Untersiggenthal",2661900,1260500,66192605,3,3,3,3,3,3,3,3,3,3,3
"3057","Turgi",2661900,1260100,66192601,20,20,20,20,20,20,20,20,20,20,20
"3058","Turgi",2661900,1260000,66192600,40,81,65,74,81,81,79,71,39,38,38
"3059","Turgi",2661900,1259900,66192599,81,56,54,44,36,36,35,32,34,36,38
"3060","Turgi",2661900,1259800,66192598,55,68,74,72,64,62,60,62,62,66,66
"3061","Birmenstorf (AG)",2661900,1256900,66192569,8,11,12,12,12,12,13,13,13,12,11
"3062","Birmenstorf (AG)",2661900,1256800,66192568,27,30,34,26,29,29,28,23,24,24,28
"3063","Birmenstorf (AG)",2661900,1256700,66192567,79,73,71,69,65,67,58,63,58,62,62
"3064","Birmenstorf (AG)",2661900,1256600,66192566,46,50,51,51,48,49,47,44,48,46,51
"3065","Birmenstorf (AG)",2661900,1254500,66192545,3,3,3,3,3,3,3,3,3,3,3
"3066","Birmenstorf (AG)",2661900,1254400,66192544,8,7,7,9,9,8,9,9,10,16,11
"3067","Birmenstorf (AG)",2661900,1254300,66192543,20,19,17,19,19,20,18,23,17,11,13
"3068","Birmenstorf (AG)",2661900,1254200,66192542,13,14,14,16,17,16,15,8,10,10,13
"3069","Mellingen",2661900,1254200,66192542,13,14,14,16,17,16,15,8,10,10,13
"3070","Birmenstorf (AG)",2661900,1254100,66192541,6,8,9,9,8,7,4,11,9,11,11
"3071","Mellingen",2661900,1254100,66192541,6,8,9,9,8,7,4,11,9,11,11
"3072","Wohlenschwil",2661900,1253100,66192531,3,3,3,3,3,3,3,3,3,3,3
"3073","Wohlenschwil",2661900,1252900,66192529,5,5,7,6,4,7,6,9,10,6,8
"3074","Wohlenschwil",2661900,1252800,66192528,10,13,12,8,13,8,11,7,7,8,8
"3075","Wohlenschwil",2661900,1252700,66192527,38,30,33,34,35,36,35,46,43,39,41
"3076","Wohlenschwil",2661900,1252600,66192526,47,48,50,50,50,52,54,48,49,52,49
"3077","Wohlenschwil",2661900,1252500,66192525,23,21,21,20,19,19,24,22,24,29,30
"3078","Wohlenschwil",2661900,1252400,66192524,8,6,5,7,7,7,6,5,6,6,6
"3079","Wohlenschwil",2661900,1252300,66192523,33,25,31,26,34,32,27,31,29,26,29
"3080","Wohlenschwil",2661900,1252200,66192522,24,26,24,25,25,24,22,27,26,24,27
"3081","Wohlenschwil",2661900,1252100,66192521,52,55,48,48,49,50,53,50,52,53,53
"3082","Wohlenschwil",2661900,1252000,66192520,69,71,71,69,66,63,60,57,61,66,68
"3083","Wohlenschwil",2661900,1251900,66192519,10,10,11,11,11,11,12,15,16,15,15
"3084","Wohlenschwil",2661900,1251800,66192518,3,3,3,3,3,3,3,3,3,3,3
"3085","Wohlenschwil",2661900,1251700,66192517,4,4,4,4,4,4,4,3,3,3,3
"3086","Wohlenschwil",2661900,1251600,66192516,29,31,34,33,33,34,33,36,35,34,36
"3087","Wohlenschwil",2661900,1251500,66192515,55,42,45,47,46,49,45,53,48,48,47
"3088","Wohlenschwil",2661900,1251400,66192514,63,72,65,65,70,65,69,61,57,52,57
"3089","Wohlenschwil",2661900,1251300,66192513,12,5,5,5,6,6,6,9,9,9,10
"3090","Wohlenschwil",2661900,1251200,66192512,17,13,15,15,15,15,15,14,16,16,16
"3091","Wohlenschwil",2661900,1251100,66192511,3,3,3,3,3,3,3,3,3,3,3
"3092","Wohlenschwil",2661900,1251000,66192510,12,21,14,11,8,8,8,8,7,11,11
"3093","Wohlenschwil",2661900,1250900,66192509,21,21,21,21,21,21,21,21,21,21,21
"3094","Würenlingen",2661800,1264800,66182648,79,77,89,94,92,101,92,109,101,75,72
"3095","Würenlingen",2661800,1264700,66182647,40,45,49,43,51,48,44,43,50,54,62
"3096","Würenlingen",2661800,1264600,66182646,10,11,13,14,14,12,13,13,13,12,13
"3097","Würenlingen",2661800,1264500,66182645,3,3,3,3,3,3,3,3,3,3,3
"3098","Untersiggenthal",2661800,1262100,66182621,3,3,3,3,3,3,3,3,3,3,3
"3099","Untersiggenthal",2661800,1261500,66182615,5,5,5,5,5,5,5,5,5,5,5
"3100","Untersiggenthal",2661800,1261400,66182614,32,32,29,30,29,28,29,24,22,22,25
"3101","Untersiggenthal",2661800,1261300,66182613,18,19,19,20,17,18,14,17,18,18,17
"3102","Untersiggenthal",2661800,1261200,66182612,12,7,6,6,7,7,7,7,11,11,12
"3103","Untersiggenthal",2661800,1261100,66182611,4,4,4,4,4,5,5,5,6,6,6
"3104","Untersiggenthal",2661800,1261000,66182610,9,13,8,7,11,11,11,11,13,11,12
"3105","Untersiggenthal",2661800,1260900,66182609,29,16,16,16,16,16,17,14,34,36,32
"3106","Untersiggenthal",2661800,1260800,66182608,55,60,58,56,55,55,58,56,48,44,44
"3107","Untersiggenthal",2661800,1260700,66182607,34,28,29,30,31,28,32,34,35,32,33
"3108","Untersiggenthal",2661800,1260600,66182606,47,47,40,41,37,44,45,42,41,32,24
"3109","Turgi",2661800,1260100,66182601,22,68,63,69,72,74,72,69,27,27,30
"3110","Turgi",2661800,1260000,66182600,242,171,173,163,169,173,167,169,132,105,122
"3111","Turgi",2661800,1259900,66182599,50,52,57,42,27,27,25,26,32,36,34
"3112","Turgi",2661800,1259800,66182598,21,21,21,21,21,21,21,21,21,21,21
"3113","Birmenstorf (AG)",2661800,1256900,66182569,14,18,18,20,21,21,21,17,15,13,14
"3114","Birmenstorf (AG)",2661800,1256800,66182568,41,44,43,38,39,40,38,38,39,45,45
"3115","Birmenstorf (AG)",2661800,1256700,66182567,57,54,54,55,56,54,50,51,53,57,58
"3116","Birmenstorf (AG)",2661800,1256600,66182566,3,3,3,3,3,3,3,3,4,6,4
"3117","Birmenstorf (AG)",2661800,1255700,66182557,7,6,7,6,3,3,3,5,7,8,7
"3118","Wohlenschwil",2661800,1252600,66182526,7,7,7,7,7,8,8,14,14,13,16
"3119","Wohlenschwil",2661800,1252500,66182525,8,10,9,9,9,9,9,10,7,7,7
"3120","Wohlenschwil",2661800,1252400,66182524,46,51,49,45,47,45,33,39,44,44,40
"3121","Wohlenschwil",2661800,1252300,66182523,26,27,26,27,27,27,20,18,19,22,23
"3122","Wohlenschwil",2661800,1252200,66182522,27,22,22,23,23,22,19,23,23,27,27
"3123","Wohlenschwil",2661800,1252100,66182521,41,46,47,47,47,50,47,43,43,43,43
"3124","Wohlenschwil",2661800,1252000,66182520,30,24,26,22,24,23,23,26,29,31,29
"3125","Wohlenschwil",2661800,1251900,66182519,57,83,72,85,71,74,82,38,42,42,41
"3126","Wohlenschwil",2661800,1251800,66182518,37,41,42,39,41,44,45,22,22,19,23
"3127","Wohlenschwil",2661800,1251700,66182517,10,10,11,11,9,11,14,15,16,17,15
"3128","Wohlenschwil",2661800,1251600,66182516,35,22,30,31,32,31,31,31,30,30,29
"3129","Wohlenschwil",2661800,1251500,66182515,52,58,52,46,51,48,52,49,50,47,48
"3130","Wohlenschwil",2661800,1251400,66182514,36,43,41,41,39,39,32,49,35,34,34
"3131","Wohlenschwil",2661800,1251300,66182513,17,20,19,18,18,16,18,11,13,12,12
"3132","Wohlenschwil",2661800,1251200,66182512,49,39,37,38,37,43,42,17,16,16,15
"3133","Wohlenschwil",2661800,1251100,66182511,12,11,11,10,8,8,9,10,10,9,9
"3134","Würenlingen",2661700,1264800,66172648,40,52,43,42,40,41,41,40,46,47,43
"3135","Würenlingen",2661700,1264700,66172647,28,20,15,15,12,10,14,13,13,13,12
"3136","Würenlingen",2661700,1264600,66172646,3,3,3,3,3,3,3,3,3,3,3
"3137","Würenlingen",2661700,1264500,66172645,8,7,8,8,8,8,8,8,8,8,8
"3138","Untersiggenthal",2661700,1261700,66172617,5,10,10,10,10,10,10,10,5,5,5
"3139","Untersiggenthal",2661700,1261600,66172616,15,18,15,15,13,14,14,14,14,14,13
"3140","Untersiggenthal",2661700,1261500,66172615,38,28,14,14,13,12,13,17,19,19,23
"3141","Untersiggenthal",2661700,1261400,66172614,12,12,9,9,9,9,9,8,9,9,10
"3142","Untersiggenthal",2661700,1261100,66172611,37,42,42,43,44,43,43,42,41,37,37
"3143","Untersiggenthal",2661700,1261000,66172610,38,42,42,44,43,42,42,36,35,36,30
"3144","Untersiggenthal",2661700,1260900,66172609,10,10,10,10,9,9,9,8,9,8,8
"3145","Turgi",2661700,1260600,66172606,4,4,4,5,5,5,5,5,5,4,3
"3146","Untersiggenthal",2661700,1260600,66172606,4,4,4,5,5,5,5,5,5,4,3
"3147","Turgi",2661700,1260400,66172604,5,4,3,3,4,4,4,4,4,5,5
"3148","Untersiggenthal",2661700,1260400,66172604,5,4,3,3,4,4,4,4,4,5,5
"3149","Turgi",2661700,1260200,66172602,3,3,3,3,3,3,3,3,3,3,3
"3150","Turgi",2661700,1260100,66172601,38,36,39,37,36,38,37,40,38,40,39
"3151","Turgi",2661700,1260000,66172600,69,75,83,76,77,76,78,81,125,130,127
"3152","Birmenstorf (AG)",2661700,1256900,66172569,27,26,25,25,24,20,20,24,27,27,27
"3153","Birmenstorf (AG)",2661700,1256800,66172568,24,29,31,31,30,34,35,35,35,36,37
"3154","Birmenstorf (AG)",2661700,1256700,66172567,49,47,42,43,44,45,43,39,44,40,38
"3155","Birmenstorf (AG)",2661700,1256600,66172566,20,20,19,19,20,22,21,21,22,22,22
"3156","Birmenstorf (AG)",2661700,1255900,66172559,3,3,3,3,3,3,3,3,11,12,11
"3157","Wohlenschwil",2661700,1252400,66172524,3,3,3,3,3,3,3,3,3,3,3
"3158","Wohlenschwil",2661700,1252200,66172522,4,4,4,4,4,4,4,4,4,4,4
"3159","Wohlenschwil",2661700,1252000,66172520,3,3,3,3,3,3,3,3,3,3,3
"3160","Wohlenschwil",2661700,1251900,66172519,53,35,11,10,11,11,9,41,34,39,36
"3161","Wohlenschwil",2661700,1251800,66172518,18,9,11,11,14,9,10,32,34,27,25
"3162","Wohlenschwil",2661700,1251700,66172517,43,61,46,42,37,40,44,14,15,15,15
"3163","Wohlenschwil",2661700,1251600,66172516,42,23,24,22,20,24,25,35,34,31,34
"3164","Wohlenschwil",2661700,1251500,66172515,40,39,38,37,37,34,35,34,30,17,14
"3165","Wohlenschwil",2661700,1251400,66172514,42,35,35,35,31,29,31,28,28,26,26
"3166","Wohlenschwil",2661700,1251200,66172512,10,11,8,7,9,10,11,28,27,30,29
"3167","Wohlenschwil",2661700,1251100,66172511,3,3,3,3,3,3,3,3,3,3,3
"3168","Würenlingen",2661600,1264800,66162648,43,46,44,44,40,48,46,48,50,50,48
"3169","Würenlingen",2661600,1264700,66162647,54,48,48,50,52,56,58,58,52,58,62
"3170","Würenlingen",2661600,1264500,66162645,3,3,4,4,4,4,4,4,4,4,4
"3171","Untersiggenthal",2661600,1262000,66162620,6,6,6,6,6,6,6,6,6,6,6
"3172","Untersiggenthal",2661600,1261900,66162619,12,16,17,17,17,18,21,21,17,17,17
"3173","Untersiggenthal",2661600,1261800,66162618,11,14,11,14,13,16,17,21,23,22,22
"3174","Untersiggenthal",2661600,1261700,66162617,20,13,13,12,12,12,11,9,16,18,18
"3175","Untersiggenthal",2661600,1261600,66162616,26,34,36,35,33,26,26,26,26,26,26
"3176","Untersiggenthal",2661600,1261500,66162615,52,52,51,46,54,55,54,55,42,47,41
"3177","Untersiggenthal",2661600,1261400,66162614,93,85,94,85,92,90,85,89,101,100,107
"3178","Untersiggenthal",2661600,1261300,66162613,24,24,24,24,24,24,24,24,24,24,24
"3179","Untersiggenthal",2661600,1261100,66162611,20,17,19,20,20,20,23,23,24,29,28
"3180","Turgi",2661600,1261000,66162610,10,3,3,3,3,3,3,3,5,5,4
"3181","Untersiggenthal",2661600,1261000,66162610,10,3,3,3,3,3,3,3,5,5,4
"3182","Turgi",2661600,1260400,66162604,93,96,98,114,120,123,128,120,127,130,133
"3183","Turgi",2661600,1260300,66162603,30,30,27,33,36,32,31,34,37,37,37
"3184","Turgi",2661600,1260200,66162602,32,32,39,31,23,31,35,38,37,38,40
"3185","Turgi",2661600,1260100,66162601,21,21,21,12,14,17,16,15,22,24,25
"3186","Turgi",2661600,1260000,66162600,36,27,32,27,25,24,25,25,38,34,30
"3187","Turgi",2661600,1259900,66162599,7,12,11,11,11,14,14,15,3,3,3
"3188","Birmenstorf (AG)",2661600,1256900,66162569,43,47,43,42,46,44,45,45,49,47,48
"3189","Birmenstorf (AG)",2661600,1256800,66162568,44,32,31,33,35,33,31,36,36,39,39
"3190","Birmenstorf (AG)",2661600,1256700,66162567,26,39,36,36,41,40,42,32,43,39,36
"3191","Birmenstorf (AG)",2661600,1256600,66162566,15,13,16,17,17,18,17,15,15,15,15
"3192","Birmenstorf (AG)",2661600,1256500,66162565,3,3,3,3,3,3,3,3,3,3,3
"3193","Birmenstorf (AG)",2661600,1256100,66162561,3,3,3,3,6,5,3,4,4,4,5
"3194","Wohlenschwil",2661600,1251900,66162519,39,39,39,39,39,39,39,39,39,39,39
"3195","Wohlenschwil",2661600,1251800,66162518,34,36,35,31,30,27,26,28,23,29,29
"3196","Wohlenschwil",2661600,1251700,66162517,28,28,37,38,36,30,31,36,31,28,30
"3197","Wohlenschwil",2661600,1251600,66162516,35,32,30,30,30,30,30,32,33,36,33
"3198","Wohlenschwil",2661600,1251500,66162515,24,26,29,29,30,30,22,26,30,30,29
"3199","Wohlenschwil",2661600,1251400,66162514,15,13,13,13,16,17,17,17,17,17,18
"3200","Würenlingen",2661500,1264800,66152648,18,24,24,22,25,24,25,25,18,13,13
"3201","Würenlingen",2661500,1264700,66152647,56,54,57,52,46,47,45,36,22,14,12
"3202","Würenlingen",2661500,1264600,66152646,15,15,16,18,20,20,21,23,24,20,20
"3203","Würenlingen",2661500,1264500,66152645,6,6,6,6,6,7,7,7,7,3,3
"3204","Untersiggenthal",2661500,1262100,66152621,3,3,3,3,3,3,4,5,4,5,4
"3205","Untersiggenthal",2661500,1261900,66152619,30,35,34,29,36,36,36,36,25,27,26
"3206","Untersiggenthal",2661500,1261800,66152618,23,20,20,21,23,22,22,22,29,29,29
"3207","Untersiggenthal",2661500,1261700,66152617,41,36,36,35,35,37,39,40,41,37,37
"3208","Untersiggenthal",2661500,1261600,66152616,88,90,97,99,95,92,89,94,92,93,90
"3209","Untersiggenthal",2661500,1261500,66152615,74,62,63,65,62,62,64,60,65,66,59
"3210","Untersiggenthal",2661500,1261400,66152614,114,66,78,70,76,75,74,72,77,71,69
"3211","Untersiggenthal",2661500,1261300,66152613,109,138,146,142,149,154,164,170,145,131,132
"3212","Untersiggenthal",2661500,1261200,66152612,49,19,20,20,19,22,22,23,39,39,39
"3213","Untersiggenthal",2661500,1261100,66152611,26,25,25,25,25,27,27,25,25,25,23
"3214","Turgi",2661500,1260800,66152608,22,22,22,22,22,17,19,19,18,17,17
"3215","Turgi",2661500,1260700,66152607,4,4,4,4,4,4,4,4,4,4,4
"3216","Turgi",2661500,1260600,66152606,13,13,13,13,13,13,14,15,15,12,15
"3217","Turgi",2661500,1260500,66152605,42,34,34,32,35,38,37,37,39,35,23
"3218","Turgi",2661500,1260400,66152604,129,126,131,142,155,150,166,174,178,181,178
"3219","Turgi",2661500,1260200,66152602,5,6,6,5,5,5,3,3,3,4,4
"3220","Turgi",2661500,1260100,66152601,17,16,17,21,20,21,22,21,18,19,21
"3221","Turgi",2661500,1260000,66152600,62,64,65,66,64,71,69,71,72,73,66
"3222","Turgi",2661500,1259900,66152599,11,11,12,12,12,12,12,12,12,12,13
"3223","Gebenstorf",2661500,1257900,66152579,3,4,5,5,5,6,7,7,7,6,6
"3224","Birmenstorf (AG)",2661500,1257000,66152570,5,6,5,5,6,6,9,7,7,8,8
"3225","Birmenstorf (AG)",2661500,1256900,66152569,27,27,26,29,30,30,30,29,22,23,24
"3226","Birmenstorf (AG)",2661500,1256800,66152568,27,36,35,36,37,38,44,38,38,34,34
"3227","Birmenstorf (AG)",2661500,1256700,66152567,52,26,26,25,28,27,24,29,11,13,13
"3228","Wohlenschwil",2661500,1251800,66152518,7,4,5,3,3,3,3,3,3,3,4
"3229","Wohlenschwil",2661500,1251700,66152517,45,52,48,52,51,57,53,56,55,52,48
"3230","Wohlenschwil",2661500,1251500,66152515,11,13,14,14,11,11,12,9,9,8,8
"3231","Wohlenschwil",2661500,1251400,66152514,10,11,12,13,13,8,12,12,12,12,13
"3232","Würenlingen",2661400,1264800,66142648,45,38,39,38,38,32,34,29,30,32,32
"3233","Würenlingen",2661400,1264700,66142647,54,56,63,62,58,59,59,61,52,52,57
"3234","Würenlingen",2661400,1264600,66142646,34,31,23,26,25,24,24,21,23,17,19
"3235","Würenlingen",2661400,1264500,66142645,36,29,32,32,28,29,28,29,27,33,32
"3236","Würenlingen",2661400,1264400,66142644,7,7,7,3,3,3,3,3,3,3,3
"3237","Untersiggenthal",2661400,1262000,66142620,4,4,4,4,4,4,4,4,4,4,4
"3238","Untersiggenthal",2661400,1261900,66142619,45,44,45,45,45,45,44,44,44,47,47
"3239","Untersiggenthal",2661400,1261800,66142618,46,52,53,56,56,57,57,57,49,54,56
"3240","Untersiggenthal",2661400,1261700,66142617,28,40,40,44,41,41,41,41,30,33,34
"3241","Untersiggenthal",2661400,1261600,66142616,29,24,24,24,22,22,21,21,30,30,31
"3242","Untersiggenthal",2661400,1261500,66142615,38,46,42,41,47,48,48,43,36,40,45
"3243","Untersiggenthal",2661400,1261400,66142614,141,164,164,165,163,161,158,158,171,169,174
"3244","Untersiggenthal",2661400,1261300,66142613,85,80,76,84,76,83,78,81,89,98,97
"3245","Untersiggenthal",2661400,1261200,66142612,44,47,45,48,48,47,47,48,47,47,44
"3246","Untersiggenthal",2661400,1261100,66142611,49,42,40,44,46,45,46,43,45,43,46
"3247","Untersiggenthal",2661400,1261000,66142610,17,21,22,23,25,26,20,13,15,14,15
"3248","Turgi",2661400,1260800,66142608,65,71,69,72,67,70,78,79,61,56,55
"3249","Turgi",2661400,1260700,66142607,92,67,70,73,71,74,77,77,92,92,91
"3250","Turgi",2661400,1260600,66142606,70,64,56,57,38,41,44,45,43,43,44
"3251","Turgi",2661400,1260500,66142605,25,21,25,24,21,21,21,24,24,27,24
"3252","Turgi",2661400,1260400,66142604,25,27,30,39,38,37,38,31,37,32,33
"3253","Turgi",2661400,1260300,66142603,14,12,10,11,7,8,8,8,10,9,5
"3254","Turgi",2661400,1260000,66142600,38,31,29,26,31,35,33,30,33,31,36
"3255","Birmenstorf (AG)",2661400,1257000,66142570,5,5,5,5,5,4,4,4,5,5,6
"3256","Birmenstorf (AG)",2661400,1256800,66142568,33,34,36,32,33,35,34,34,36,28,29
"3257","Birmenstorf (AG)",2661400,1256700,66142567,6,6,6,4,5,6,6,19,15,17,16
"3258","Birmenstorf (AG)",2661400,1256300,66142563,6,5,5,5,3,3,4,4,5,5,5
"3259","Wohlenschwil",2661400,1251900,66142519,6,6,6,6,6,6,6,7,7,7,6
"3260","Wohlenschwil",2661400,1251700,66142517,9,10,11,11,10,12,11,4,4,5,5
"3261","Wohlenschwil",2661400,1251500,66142515,3,3,3,3,3,3,3,3,3,3,3
"3262","Würenlingen",2661300,1264800,66132648,44,34,34,32,33,36,36,36,37,45,44
"3263","Würenlingen",2661300,1264700,66132647,56,69,68,67,55,48,54,57,56,50,52
"3264","Würenlingen",2661300,1264600,66132646,55,54,53,53,48,50,53,54,57,54,54
"3265","Würenlingen",2661300,1264500,66132645,43,33,38,29,29,32,34,34,33,32,36
"3266","Würenlingen",2661300,1264400,66132644,32,39,36,33,30,36,40,39,35,39,41
"3267","Würenlingen",2661300,1264300,66132643,15,14,14,14,15,15,15,15,15,14,13
"3268","Untersiggenthal",2661300,1261900,66132619,34,34,37,34,33,33,36,35,38,35,37
"3269","Untersiggenthal",2661300,1261800,66132618,66,36,40,40,39,34,34,32,55,52,55
"3270","Untersiggenthal",2661300,1261700,66132617,51,65,64,66,67,68,67,70,56,60,64
"3271","Untersiggenthal",2661300,1261600,66132616,67,81,80,80,83,83,81,84,75,68,65
"3272","Untersiggenthal",2661300,1261500,66132615,55,45,45,46,48,49,46,32,42,43,43
"3273","Untersiggenthal",2661300,1261400,66132614,77,79,78,75,72,69,63,41,39,46,45
"3274","Untersiggenthal",2661300,1261300,66132613,23,48,45,43,45,32,39,41,14,15,16
"3275","Untersiggenthal",2661300,1261200,66132612,45,24,26,25,26,26,26,26,50,46,53
"3276","Untersiggenthal",2661300,1261100,66132611,41,47,50,46,50,45,48,48,42,47,52
"3277","Untersiggenthal",2661300,1261000,66132610,44,42,38,40,40,43,42,41,45,46,48
"3278","Turgi",2661300,1260900,66132609,17,9,9,10,11,12,12,10,12,12,12
"3279","Untersiggenthal",2661300,1260900,66132609,17,9,9,10,11,12,12,10,12,12,12
"3280","Turgi",2661300,1260800,66132608,4,4,4,4,4,4,4,4,4,4,4
"3281","Turgi",2661300,1260700,66132607,42,57,54,56,56,56,57,59,66,56,60
"3282","Turgi",2661300,1260600,66132606,87,84,84,89,85,85,84,90,92,90,87
"3283","Turgi",2661300,1260500,66132605,45,40,46,46,47,53,47,53,48,42,46
"3284","Turgi",2661300,1260400,66132604,4,4,4,4,4,4,4,4,4,4,4
"3285","Turgi",2661300,1260300,66132603,52,53,56,55,55,58,61,61,74,73,73
"3286","Turgi",2661300,1260200,66132602,3,3,3,3,3,3,3,3,3,3,3
"3287","Turgi",2661300,1260100,66132601,23,30,28,32,33,34,28,25,39,41,33
"3288","Gebenstorf",2661300,1260000,66132600,18,20,20,16,4,4,4,4,3,3,3
"3289","Turgi",2661300,1260000,66132600,18,20,20,16,4,4,4,4,3,3,3
"3290","Gebenstorf",2661300,1258500,66132585,3,3,3,3,3,3,3,3,3,3,3
"3291","Birmenstorf (AG)",2661300,1257000,66132570,26,23,26,26,25,26,25,27,28,24,25
"3292","Birmenstorf (AG)",2661300,1256900,66132569,13,13,15,15,15,15,15,13,11,9,11
"3293","Birmenstorf (AG)",2661300,1255000,66132550,3,3,3,3,3,3,3,3,3,3,4
"3294","Birmenstorf (AG)",2661300,1254900,66132549,16,18,15,15,17,17,16,11,13,13,14
"3295","Würenlingen",2661200,1264800,66122648,52,36,41,45,42,42,41,39,38,34,34
"3296","Würenlingen",2661200,1264700,66122647,38,33,34,34,35,36,36,36,32,36,32
"3297","Würenlingen",2661200,1264600,66122646,33,33,36,36,37,40,42,42,43,40,43
"3298","Würenlingen",2661200,1264500,66122645,27,27,26,26,23,23,23,22,21,18,15
"3299","Würenlingen",2661200,1264400,66122644,52,47,42,45,48,44,47,47,45,46,43
"3300","Würenlingen",2661200,1264300,66122643,35,28,27,28,29,27,23,21,25,25,27
"3301","Würenlingen",2661200,1264200,66122642,12,11,10,12,11,11,11,11,11,14,14
"3302","Untersiggenthal",2661200,1261900,66122619,46,50,47,47,48,51,53,52,43,50,50
"3303","Untersiggenthal",2661200,1261800,66122618,82,74,75,68,68,69,72,73,78,76,76
"3304","Untersiggenthal",2661200,1261700,66122617,87,79,77,78,76,77,82,79,76,40,42
"3305","Untersiggenthal",2661200,1261600,66122616,60,68,65,67,69,64,71,60,60,48,46
"3306","Untersiggenthal",2661200,1261500,66122615,42,53,52,57,58,59,45,44,29,32,35
"3307","Untersiggenthal",2661200,1261400,66122614,29,29,29,29,29,29,29,29,29,29,29
"3308","Untersiggenthal",2661200,1261300,66122613,87,85,95,95,93,86,85,89,86,84,84
"3309","Untersiggenthal",2661200,1261200,66122612,35,34,35,35,36,37,28,29,29,20,21
"3310","Untersiggenthal",2661200,1261100,66122611,23,28,29,28,25,24,26,23,22,23,21
"3311","Untersiggenthal",2661200,1261000,66122610,25,26,28,28,22,27,31,36,38,39,42
"3312","Turgi",2661200,1260900,66122609,24,34,42,34,26,27,24,21,27,21,18
"3313","Untersiggenthal",2661200,1260900,66122609,24,34,42,34,26,27,24,21,27,21,18
"3314","Turgi",2661200,1260700,66122607,44,37,46,45,41,48,49,45,51,49,48
"3315","Turgi",2661200,1260600,66122606,90,90,91,91,89,93,92,97,90,95,100
"3316","Turgi",2661200,1260500,66122605,79,75,77,87,93,92,81,82,94,101,97
"3317","Turgi",2661200,1260400,66122604,24,6,9,10,11,13,10,4,17,15,10
"3318","Turgi",2661200,1260300,66122603,14,14,14,14,14,14,14,14,14,14,14
"3319","Gebenstorf",2661200,1260200,66122602,16,17,17,18,19,19,19,19,19,18,18
"3320","Turgi",2661200,1260200,66122602,16,17,17,18,19,19,19,19,19,18,18
"3321","Gebenstorf",2661200,1260100,66122601,33,30,30,29,29,28,27,28,37,35,33
"3322","Turgi",2661200,1260100,66122601,33,30,30,29,29,28,27,28,37,35,33
"3323","Birmenstorf (AG)",2661200,1257900,66122579,6,6,6,6,6,6,6,6,6,6,6
"3324","Gebenstorf",2661200,1257900,66122579,6,6,6,6,6,6,6,6,6,6,6
"3325","Birmenstorf (AG)",2661200,1257300,66122573,3,3,3,3,3,3,3,3,3,3,3
"3326","Birmenstorf (AG)",2661200,1257200,66122572,18,23,23,26,28,28,28,26,26,27,28
"3327","Birmenstorf (AG)",2661200,1257100,66122571,3,3,3,3,3,3,3,3,3,3,3
"3328","Birmenstorf (AG)",2661200,1257000,66122570,35,41,43,45,47,46,46,44,44,45,47
"3329","Birmenstorf (AG)",2661200,1256900,66122569,39,34,37,30,31,31,31,38,35,35,32
"3330","Birmenstorf (AG)",2661200,1256800,66122568,25,28,25,25,24,24,24,26,25,26,21
"3331","Birmenstorf (AG)",2661200,1256700,66122567,3,5,5,5,5,5,5,5,3,3,3
"3332","Birmenstorf (AG)",2661200,1254800,66122548,3,3,3,3,3,3,3,3,3,3,3
"3333","Würenlingen",2661100,1264800,66112648,48,41,40,42,43,41,43,42,41,42,46
"3334","Würenlingen",2661100,1264700,66112647,53,54,51,54,50,34,26,28,28,28,26
"3335","Würenlingen",2661100,1264600,66112646,82,75,79,87,88,93,92,93,92,91,97
"3336","Würenlingen",2661100,1264500,66112645,48,40,38,36,45,45,42,42,43,45,44
"3337","Würenlingen",2661100,1264400,66112644,46,53,54,54,54,55,58,59,58,60,58
"3338","Würenlingen",2661100,1264300,66112643,21,23,22,18,18,19,22,23,22,23,25
"3339","Untersiggenthal",2661100,1261800,66112618,25,30,28,26,27,28,30,30,30,30,28
"3340","Untersiggenthal",2661100,1261700,66112617,72,39,43,45,39,46,48,51,56,52,45
"3341","Untersiggenthal",2661100,1261600,66112616,49,48,48,46,42,39,48,33,35,38,39
"3342","Untersiggenthal",2661100,1261300,66112613,49,52,46,49,49,53,53,55,51,52,55
"3343","Untersiggenthal",2661100,1261200,66112612,49,50,43,50,49,48,44,46,47,47,41
"3344","Untersiggenthal",2661100,1261100,66112611,24,29,21,21,18,18,18,16,21,21,18
"3345","Turgi",2661100,1260700,66112607,8,10,9,11,11,9,9,10,13,11,14
"3346","Turgi",2661100,1260600,66112606,27,25,23,23,26,25,29,33,32,31,30
"3347","Turgi",2661100,1260500,66112605,16,14,16,18,14,22,23,21,3,3,3
"3348","Gebenstorf",2661100,1260400,66112604,14,18,19,19,16,21,21,21,16,17,12
"3349","Turgi",2661100,1260400,66112604,14,18,19,19,16,21,21,21,16,17,12
"3350","Gebenstorf",2661100,1260300,66112603,36,40,42,37,38,31,39,34,37,39,38
"3351","Turgi",2661100,1260300,66112603,36,40,42,37,38,31,39,34,37,39,38
